corp_name,corp_code,stock_code,ceo_name,industry_code
삼일제약(주),00128032,000520,허승범,212
파미셀(주),00145163,005690,김현수,211
(주)형지엘리트,00441243,093240,최준호,14112
현대자동차(주),00164742,005380,"정의선, 이동석, 무뇨스 바르셀로 호세 안토니오(각자 대표이사)",30121
제이더블유생명과학(주),00225706,234080,노정열,212
그랜드코리아레저(주),00557508,114090,윤두현,91249
(주)쌍방울,00681142,102280,정운호,14120
(주)신흥,00173795,004080,이용익,4659
CJ씨푸드(주),00129013,011150,임항순,108
(주)신도리코,00135795,029530,서동규,263
한온시스템(주),00161125,018880,대표이사 이수일,29172
아시아나항공(주),00138792,020560,송보영,511
에어부산 주식회사,00651901,298690,정병섭,511
명문제약(주),00121039,017180,배철한,212
한국전력공사(주),00159193,015760,김동철,35120
(주)케이씨씨,00105271,002380,"정몽진, 정재훈",20411
(주)시프트업,01384787,462870,김형태,58212
(주)한국특강,00124090,007280,박성우,24121
(주)세아제강지주,00124197,003030,"이주성, 조영빈",64992
자이에스앤디(주),00367844,317400,구본삼,681
에이치디현대마린솔루션(주),01194689,443060,이기동,7212
에이치디현대일렉트릭(주),01205851,267260,김영기,281
제일약품(주),01236897,271980,"성석제, 한상철 (공동대표)",212
한화오션(주),00111704,042660,김희철,3111
(주)팜스코,00260408,036580,김남욱,105
모나용평(주),00365989,070960,임학운,55103
(주)엘지씨엔에스,00139834,064400,현신균,62021
(주)휴비스,00362238,079980,김석현,20501
현대오토에버(주),00362441,307950,김윤구,582
(주)세이브존아이앤씨,00422895,067830,이상준,47111
에이치디현대중공업(주),01390344,329180,"이상균, 노진율 (각자 대표이사)",31113
계룡건설산업(주),00102432,013580,"오태식, 윤길호",412
㈜엔에이치올원위탁관리부동산투자회사,01480780,400760,소선호,6812
SGC에너지(주),00125150,005090,"이우성, 박준영, 이복영",351
티피(주),00154329,007980,임석원,141
나이스평가정보 주식회사,00158325,030190,김종윤,63991
씨에스윈드(주),00670340,112610,방성훈,2511
(주)케이티아이에스,00372873,058860,이선주,63991
삼성바이오로직스(주),00877059,207940,임존종보 (Rim John Chongbo),211
에스케이바이오사이언스(주),01319899,302440,안재용,211
계양전기(주),00102618,012200,임영환,291
이건산업(주),00145446,008250,백오현,16211
콜마홀딩스(주),00203290,024720,윤상현,64992
(주)주성코퍼레이션,00753643,109070,허용호,264
엘에스일렉트릭 주식회사,00105855,010120,"구자균, 채대석",28121
(주)휴니드테크놀러지스,00111421,005870,김유진,2642
대한전선(주),00113207,001440,송종민,28302
(주)다이나믹디자인,00453488,145210,황 응 연,292
KR모터스(주),00112378,000040,노성석,319
(주)이엔플러스,00469799,074610,최용인,29193
(주)남성,00172185,004270,윤성호,467
롯데칠성음료(주),00120571,005300,박윤기,11209
삼성전자(주),00126380,005930,전영현,264
한화에어로스페이스(주),00126566,012450,"김동관, 손재일, Michael Coulter",31321
삼호개발(주),00128980,010960,"심재범, 이영열",421
롯데케미칼(주),00165413,011170,"신동빈, 이영준, 황민재",20111
(주)LG유플러스,00231363,032640,홍범식,61220
(주)신세계푸드,00274933,031440,강승협,56130
씨제이씨지브이(주),00303873,079160,정종민,59141
한미반도체(주),00161383,042700,곽동신,29271
전진건설로봇(주),00372129,079900,고현국,292
스틱인베스트먼트(주),00117498,026890,"곽동걸, 강신우",64201
국도화학(주),00104388,007690,"이시창, 황문성",20111
일진디스플레이(주),00198697,020760,이우종,261
대원제약(주),00111999,003220,"백승열, BAEK JONATHAN IN",212
조선내화 주식회사,01770203,462520,최광철,2321
금호타이어(주),00481454,073240,정일택,221
주식회사 에코프로머티리얼즈,01311408,450080,김병훈,28202
씨제이대한통운(주),00113410,000120,"신영수, 민영학 (각자 대표)",493
SK증권(주),00131850,001510,"전우종, 정준호",66121
(주)대우건설,00124540,047040,김보현,41112
(주)현대홈쇼핑,00412597,057050,"정교선, 한광영(각자 대표이사)",47919
(주)메타케어,00791209,118000,이수진,4659
참엔지니어링(주),00153621,009310,이경희,29271
엘아이지넥스원(주),00503668,079550,신익현,25200
효성중공업(주),01316245,298040,우태희,281
(주)대웅,00111810,003090,윤재춘,212
한국전력기술(주),00159209,052690,김태균,72129
(주)국보,00104519,001140,"박찬하, 김룡영(각자 대표)",49301
평화홀딩스(주),00155124,010770,"황순용, 김주영",303
(주)케이티앤지,00244455,033780,방경만,12000
(주)카카오,00258801,035720,정신아,63120
(주)엔씨소프트,00261443,036570,"김택진, 박병무 (공동대표이사)",582
(주)케이티스카이라이프,00349097,053210,최영범,60229
한세엠케이(주),00357360,069640,"김지원, 임동환(각자 대표이사)",4741
(주)종근당바이오,00390055,063160,박완갑,212
(주)대웅제약,00427483,069620,"이창재, 박성수",212
SK네트웍스(주),00131780,001740,이호정,467
